H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;1;1;189,34;287,47
S;1;1;192,34;287,30
S;1;1;195,33;287,44
S;1;1;198,28;287,97
S;1;1;201,11;288,96
S;1;1;203,71;290,46
S;1;1;205,96;292,43
S;1;1;207,79;294,80
S;1;1;209,18;297,46
S;1;1;210,17;300,29
S;1;1;210,80;303,22
S;1;1;211,13;306,20
S;1;1;211,20;309,20
S;1;1;211,04;312,20
S;1;1;210,68;315,18
S;1;1;210,13;318,13
S;1;1;209,41;321,04
S;1;1;208,51;323,90
S;1;1;207,44;326,70
S;1;1;206,18;329,43
S;1;1;204,76;332,07
S;1;1;203,22;334,64
S;1;1;201,57;337,15
S;1;1;199,84;339,60
S;1;1;198,04;342,00
S;1;1;196,16;344,34
S;1;1;194,23;346,64
S;1;1;192,25;348,89
S;1;1;190,22;351,10
S;1;1;188,14;353,26
S;1;1;186,02;355,38
S;1;1;183,86;357,47
S;1;1;181,66;359,51
S;1;1;179,42;361,51
S;1;1;177,15;363,47
S;1;1;174,85;365,39
S;1;1;172,50;367,26
S;1;1;170,13;369,10
S;1;1;167,72;370,89
S;1;1;165,28;372,63
S;1;1;162,80;374,32
S;1;1;160,29;375,97
S;1;1;157,75;377,56
S;1;1;155,17;379,09
S;1;1;152,56;380,57
S;1;1;149,91;381,98
S;1;1;147,23;383,33
S;1;1;144,51;384,60
S;1;1;141,76;385,79
S;1;1;138,96;386,89
S;1;1;136,14;387,89
S;1;1;133,27;388,79
S;1;1;130,38;389,57
S;1;1;127,45;390,22
S;1;1;124,49;390,72
S;1;1;121,51;391,05
S;1;1;118,51;391,20
S;1;1;115,51;391,14
S;1;1;112,53;390,85
S;1;1;109,58;390,32
S;1;1;106,69;389,51
S;1;1;103,89;388,43
S;1;0;170,67;160,05
S;1;0;169,35;162,77
S;1;0;168,04;165,49
S;1;0;166,73;168,21
S;1;0;165,44;170,94
S;1;0;164,16;173,67
S;1;0;162,88;176,41
S;1;0;161,62;179,15
S;1;0;160,37;181,90
S;1;0;159,13;184,65
S;1;0;157,90;187,41
S;1;0;156,69;190,17
S;1;0;155,48;192,94
S;1;0;154,30;195,72
S;1;0;153,12;198,50
S;1;0;151,97;201,29
S;1;0;150,82;204,08
S;1;0;149,69;206,88
S;1;0;148,58;209,69
S;1;0;147,47;212,50
S;1;0;146,37;215,31
S;1;0;145,26;218,11
S;1;0;144,14;220,92
S;1;0;143,02;223,72
S;1;0;141,90;226,52
S;1;0;140,77;229,32
S;1;0;139,63;232,12
S;1;0;138,50;234,92
S;1;0;137,37;237,72
S;1;0;136,24;240,52
S;1;0;135,11;243,32
S;1;0;133,98;246,12
S;1;0;132,86;248,92
S;1;0;131,75;251,73
S;1;0;130,64;254,54
S;1;0;129,54;257,35
S;1;0;128,45;260,16
S;1;0;127,37;262,98
S;1;0;126,30;265,80
S;1;0;125,24;268,63
S;1;0;124,20;271,46
S;1;0;123,17;274,30
S;1;0;122,16;277,15
S;1;0;121,16;280,00
S;1;0;120,19;282,85
S;1;0;119,23;285,72
S;1;0;118,30;288,59
S;1;0;117,38;291,47
S;1;0;116,49;294,35
S;1;0;115,63;297,24
S;1;0;114,79;300,14
S;1;0;113,98;303,05
S;1;0;113,20;305,97
S;1;0;112,45;308,89
S;1;0;111,74;311,82
S;1;0;111,05;314,77
S;1;0;110,38;317,71
S;1;0;109,71;320,65
S;1;0;109,05;323,60
S;1;0;108,38;326,54
S;1;0;107,72;329,49
S;1;0;107,05;332,43
S;1;0;106,39;335,38
S;1;0;105,72;338,32
S;1;0;105,06;341,27
S;1;0;104,39;344,21
S;1;0;103,73;347,16
S;1;0;103,07;350,10
S;1;0;102,41;353,05
S;1;0;101,75;355,99
S;1;0;101,09;358,94
S;1;0;100,45;361,89
G;2;0000;c
S;2;0;164,50;311,48
S;2;0;166,95;309,73
S;2;0;169,12;307,64
S;2;0;170,94;305,24
S;2;0;172,38;302,60
S;2;0;173,44;299,78
S;2;0;174,11;296,84
S;2;0;174,41;293,85
S;2;0;174,35;290,84
S;2;0;173,96;287,85
S;2;0;173,23;284,93
S;2;0;172,18;282,10
S;2;0;170,81;279,42
S;2;0;169,11;276,94
S;2;0;167,09;274,70
S;2;0;164,75;272,80
S;2;0;162,14;271,30
S;2;0;159,31;270,27
S;2;0;156,35;269,76
S;2;0;153,34;269,74
S;2;0;150,36;270,19
S;2;0;147,47;271,02
S;2;0;144,69;272,18
S;2;0;142,03;273,60
S;2;0;139,50;275,23
S;2;0;137,06;277,01
S;2;0;134,69;278,87
S;2;0;132,40;280,83
S;2;0;130,18;282,86
S;2;0;128,03;284,97
S;2;0;125,94;287,15
S;2;0;123,93;289,39
S;2;0;121,98;291,69
S;2;0;120,10;294,05
S;2;0;118,29;296,45
S;2;0;116,54;298,91
S;2;0;114,86;301,41
S;2;0;113,24;303,96
S;2;0;111,70;306,55
S;2;0;110,23;309,18
S;2;0;108,82;311,84
S;2;0;107,46;314,53
S;2;0;106,14;317,24
S;2;0;104,87;319,97
S;2;0;103,63;322,72
S;2;0;102,44;325,49
S;2;0;101,29;328,27
S;2;0;100,18;331,07
S;2;0;99,12;333,89
S;2;0;98,10;336,73
S;2;0;97,14;339,59
S;2;0;96,24;342,46
S;2;0;95,39;345,36
S;2;0;94,61;348,27
S;2;0;93,91;351,20
S;2;0;93,28;354,15
S;2;0;92,76;357,11
S;2;0;92,33;360,10
S;2;0;92,03;363,10
S;2;0;91,88;366,10
S;2;0;91,89;369,12
S;2;0;92,10;372,12
S;2;0;92,55;375,10
S;2;0;93,29;378,02
S;2;0;94,36;380,84
S;2;0;95,81;383,48
S;2;0;97,66;385,85
S;2;0;99,89;387,88
S;2;0;102,42;389,50
S;2;0;105,17;390,72
S;2;0;108,07;391,56
S;2;0;111,03;392,10
S;2;0;114,03;392,42
S;2;0;117,04;392,52
S;2;0;120,05;392,42
S;2;0;123,05;392,10
S;2;0;126,02;391,58
S;2;0;128,94;390,88
S;2;0;131,83;390,00
S;2;0;134,66;388,97
S;2;0;137,43;387,79
S;2;0;140,15;386,49
S;2;0;142,81;385,08
S;2;0;145,42;383,57
S;2;0;147,98;381,98
S;2;0;150,49;380,31
S;2;0;152,95;378,57
S;2;0;155,38;376,78
S;2;0;157,77;374,94
S;2;0;160,12;373,07
S;2;0;162,45;371,15
S;2;0;164,76;369,21
S;2;0;167,04;367,25
S;2;0;169,31;365,27
S;2;0;171,58;363,27
S;2;0;173,83;361,27
S;2;0;176,08;359,27
S;2;0;178,34;357,27
S;2;0;180,60;355,28
S;2;0;182,87;353,30
S;2;0;185,16;351,34
S;2;0;187,48;349,42
G;3;0000;d
S;3;1;182,12;304,21
S;3;1;179,37;303,02
S;3;1;176,66;301,75
S;3;1;173,98;300,43
S;3;1;171,31;299,09
S;3;1;168,64;297,74
S;3;1;165,96;296,40
S;3;1;163,27;295,09
S;3;1;160,57;293,81
S;3;1;157,83;292,60
S;3;1;155,06;291,46
S;3;1;152,25;290,44
S;3;1;149,39;289,59
S;3;1;146,46;288,98
S;3;1;143,48;288,79
S;3;1;140,50;289,02
S;3;1;137,57;289,64
S;3;1;134,74;290,60
S;3;1;132,02;291,85
S;3;1;129,43;293,33
S;3;1;126,94;295,00
S;3;1;124,57;296,82
S;3;1;122,31;298,77
S;3;1;120,14;300,83
S;3;1;118,05;302,98
S;3;1;116,05;305,20
S;3;1;114,12;307,49
S;3;1;112,27;309,83
S;3;1;110,47;312,23
S;3;1;108,74;314,67
S;3;1;107,07;317,15
S;3;1;105,45;319,66
S;3;1;103,90;322,22
S;3;1;102,41;324,81
S;3;1;100,97;327,44
S;3;1;99,58;330,08
S;3;1;98,23;332,76
S;3;1;96,94;335,45
S;3;1;95,69;338,17
S;3;1;94,51;340,92
S;3;1;93,38;343,69
S;3;1;92,33;346,49
S;3;1;91,35;349,32
S;3;1;90,47;352,18
S;3;1;89,69;355,06
S;3;1;89,04;357,98
S;3;1;88,55;360,93
S;3;1;88,26;363,91
S;3;1;88,22;366,90
S;3;1;88,51;369,88
S;3;1;89,24;372,78
S;3;1;90,50;375,48
S;3;1;92,35;377,82
S;3;1;94,72;379,64
S;3;1;97,45;380,82
S;3;1;100,38;381,44
S;3;1;103,35;381,80
S;3;1;106,34;381,91
S;3;1;109,32;381,79
S;3;1;112,30;381,45
S;3;1;115,24;380,91
S;3;1;118,14;380,20
S;3;1;121,00;379,32
S;3;1;123,82;378,30
S;3;1;126,58;377,16
S;3;1;129,29;375,90
S;3;1;131,96;374,55
S;3;1;134,57;373,10
S;3;1;137,14;371,56
S;3;1;139,67;369,96
S;3;1;142,15;368,28
S;3;1;144,58;366,54
S;3;1;146,98;364,75
S;3;1;149,33;362,90
S;3;1;151,64;361,01
S;3;1;153,92;359,07
S;3;1;156,16;357,09
S;3;1;158,36;355,06
S;3;1;160,53;353,00
S;3;1;162,66;350,90
S;3;1;164,76;348,77
S;3;1;166,82;346,60
S;3;1;168,85;344,40
S;3;1;170,83;342,17
S;3;1;172,78;339,90
S;3;1;174,69;337,59
S;3;0;230,42;175,32
S;3;0;228,84;177,88
S;3;0;227,31;180,48
S;3;0;225,82;183,10
S;3;0;224,38;185,75
S;3;0;222,98;188,42
S;3;0;221,62;191,11
S;3;0;220,30;193,82
S;3;0;219,01;196,54
S;3;0;217,76;199,28
S;3;0;216,53;202,04
S;3;0;215,34;204,80
S;3;0;214,17;207,58
S;3;0;213,02;210,37
S;3;0;211,90;213,17
S;3;0;210,80;215,97
S;3;0;209,72;218,79
S;3;0;208,67;221,61
S;3;0;207,62;224,44
S;3;0;206,60;227,27
S;3;0;205,59;230,11
S;3;0;204,60;232,96
S;3;0;203,62;235,81
S;3;0;202,65;238,66
S;3;0;201,69;241,52
S;3;0;200,74;244,38
S;3;0;199,80;247,24
S;3;0;198,86;250,11
S;3;0;197,93;252,97
S;3;0;197,00;255,84
S;3;0;196,06;258,71
S;3;0;195,13;261,57
S;3;0;194,20;264,44
S;3;0;193,27;267,31
S;3;0;192,35;270,17
S;3;0;191,43;273,05
S;3;0;190,51;275,92
S;3;0;189,60;278,79
S;3;0;188,71;281,67
S;3;0;187,82;284,55
S;3;0;186,94;287,43
S;3;0;186,07;290,32
S;3;0;185,22;293,21
S;3;0;184,38;296,10
S;3;0;183,55;299,00
S;3;0;182,74;301,91
S;3;0;181,95;304,81
S;3;0;181,18;307,73
S;3;0;180,43;310,65
S;3;0;179,70;313,57
S;3;0;178,99;316,50
S;3;0;178,30;319,44
S;3;0;177,64;322,38
S;3;0;177,01;325,32
S;3;0;176,40;328,27
S;3;0;175,83;331,23
S;3;0;175,28;334,20
S;3;0;174,76;337,17
S;3;0;174,28;340,14
S;3;0;173,84;343,12
S;3;0;173,42;346,11
S;3;0;173,05;349,10
S;3;0;172,71;352,09
S;3;0;172,42;355,09
S;3;0;172,17;358,10
S;3;0;171,96;361,10
S;3;0;171,79;364,11
S;3;0;171,67;367,13
S;3;0;171,60;370,14
S;3;0;171,58;373,15
S;3;0;171,60;376,17
S;3;0;171,68;379,18
S;3;0;171,81;382,19
S;3;0;171,99;385,20
S;3;0;172,23;388,20
S;3;0;172,53;391,20
S;3;0;172,88;394,20
S;3;0;173,28;397,18
S;3;0;173,75;400,16
S;3;0;174,27;403,13
S;3;0;174,86;406,09
S;3;0;175,50;409,03
G;4;0000;e
S;4;0;102,96;317,51
S;4;0;105,65;318,85
S;4;0;108,38;320,09
S;4;0;111,15;321,24
S;4;0;113,96;322,27
S;4;0;116,82;323,20
S;4;0;119,71;323,99
S;4;0;122,64;324,65
S;4;0;125,59;325,16
S;4;0;128,57;325,52
S;4;0;131,57;325,70
S;4;0;134,57;325,70
S;4;0;137,56;325,52
S;4;0;140,54;325,14
S;4;0;143,48;324,57
S;4;0;146,38;323,80
S;4;0;149,22;322,83
S;4;0;151,99;321,68
S;4;0;154,68;320,36
S;4;0;157,28;318,87
S;4;0;159,79;317,22
S;4;0;162,20;315,43
S;4;0;164,44;313,44
S;4;0;166,50;311,26
S;4;0;168,35;308,90
S;4;0;170,00;306,39
S;4;0;171,40;303,74
S;4;0;172,55;300,97
S;4;0;173,41;298,10
S;4;0;173,96;295,15
S;4;0;174,14;292,16
S;4;0;173,93;289,17
S;4;0;173,29;286,24
S;4;0;172,18;283,46
S;4;0;170,62;280,90
S;4;0;168,66;278,63
S;4;0;166,36;276,71
S;4;0;163,80;275,15
S;4;0;161,07;273,91
S;4;0;158,22;272,98
S;4;0;155,29;272,32
S;4;0;152,31;271,98
S;4;0;149,31;271,98
S;4;0;146,33;272,30
S;4;0;143,40;272,93
S;4;0;140,54;273,84
S;4;0;137,78;275,00
S;4;0;135,11;276,37
S;4;0;132,55;277,93
S;4;0;130,09;279,65
S;4;0;127,73;281,51
S;4;0;125,47;283,48
S;4;0;123,31;285,55
S;4;0;121,23;287,72
S;4;0;119,24;289,96
S;4;0;117,33;292,28
S;4;0;115,49;294,65
S;4;0;113,74;297,08
S;4;0;112,05;299,56
S;4;0;110,43;302,09
S;4;0;108,88;304,65
S;4;0;107,39;307,26
S;4;0;105,97;309,90
S;4;0;104,61;312,57
S;4;0;103,31;315,28
S;4;0;102,07;318,01
S;4;0;100,90;320,77
S;4;0;99,79;323,56
S;4;0;98,74;326,37
S;4;0;97,76;329,21
S;4;0;96,84;332,06
S;4;0;96,00;334,94
S;4;0;95,23;337,84
S;4;0;94,53;340,76
S;4;0;93,91;343,70
S;4;0;93,39;346,65
S;4;0;92,96;349,62
S;4;0;92,63;352,60
S;4;0;92,41;355,59
S;4;0;92,33;358,59
S;4;0;92,39;361,59
S;4;0;92,62;364,58
S;4;0;93,05;367,55
S;4;0;93,71;370,47
S;4;0;94,65;373,32
S;4;0;95,85;376,07
S;4;0;97,27;378,71
S;4;0;98,94;381,20
S;4;0;100,85;383,51
S;4;0;103,00;385,60
S;4;0;105,38;387,44
S;4;0;107,94;388,99
S;4;0;110,66;390,25
S;4;0;113,50;391,21
S;4;0;116,43;391,88
S;4;0;119,40;392,27
S;4;0;122,40;392,40
S;4;0;125,40;392,29
S;4;0;128,38;391,96
S;4;0;131,33;391,43
S;4;0;134,24;390,70
S;4;0;137,10;389,79
S;4;0;139,90;388,71
S;4;0;142,63;387,48
S;4;0;145,29;386,09
S;4;0;147,86;384,54
S;4;0;150,34;382,86
S;4;0;152,72;381,03
S;4;0;154,98;379,06
S;4;0;157,11;376,95
S;4;0;159,09;374,70
S;4;0;160,91;372,31
G;5;0000;f
S;5;1;110,78;291,65
S;5;1;113,62;292,41
S;5;1;116,50;292,99
S;5;1;119,41;293,41
S;5;1;122,34;293,69
S;5;1;125,28;293,84
S;5;1;128,22;293,89
S;5;1;131,16;293,85
S;5;1;134,10;293,71
S;5;1;137,03;293,51
S;5;1;139,96;293,23
S;5;1;142,88;292,90
S;5;1;145,80;292,51
S;5;1;148,71;292,07
S;5;1;151,61;291,59
S;5;1;154,50;291,07
S;5;1;157,39;290,51
S;5;1;160,27;289,91
S;5;1;163,15;289,29
S;5;1;166,02;288,65
S;5;1;168,88;287,98
S;5;0;205,83;203,82
S;5;0;207,22;201,15
S;5;0;208,57;198,46
S;5;0;209,86;195,74
S;5;0;211,07;192,98
S;5;0;212,14;190,16
S;5;0;213,01;187,28
S;5;0;213,60;184,33
S;5;0;213,78;181,33
S;5;0;213,42;178,34
S;5;0;212,43;175,50
S;5;0;210,85;172,95
S;5;0;208,79;170,75
S;5;0;206,43;168,89
S;5;0;203,87;167,31
S;5;0;201,18;165,96
S;5;0;198,33;165,00
S;5;0;195,34;164,62
S;5;0;192,34;164,80
S;5;0;189,41;165,46
S;5;0;186,58;166,50
S;5;0;183,88;167,83
S;5;0;181,31;169,39
S;5;0;178,84;171,12
S;5;0;176,48;172,98
S;5;0;174,21;174,96
S;5;0;172,02;177,03
S;5;0;169,90;179,16
S;5;0;167,84;181,37
S;5;0;165,85;183,62
S;5;0;163,90;185,92
S;5;0;162,01;188,26
S;5;0;160,16;190,64
S;5;0;158,35;193,05
S;5;0;156,59;195,49
S;5;0;154,85;197,95
S;5;0;153,16;200,44
S;5;0;151,49;202,95
S;5;0;149,86;205,48
S;5;0;148,26;208,03
S;5;0;146,68;210,60
S;5;0;145,14;213,18
S;5;0;143,63;215,79
S;5;0;142,14;218,41
S;5;0;140,69;221,04
S;5;0;139,25;223,69
S;5;0;137,82;226,34
S;5;0;136,42;229,01
S;5;0;135,04;231,68
S;5;0;133,69;234,37
S;5;0;132,36;237,08
S;5;0;131,07;239,80
S;5;0;129,81;242,53
S;5;0;128,59;245,29
S;5;0;127,41;248,06
S;5;0;126,28;250,85
S;5;0;125,20;253,66
S;5;0;124,17;256,49
S;5;0;123,20;259,34
S;5;0;122,30;262,22
S;5;0;121,42;265,09
S;5;0;120,43;267,94
S;5;0;119,35;270,75
S;5;0;118,22;273,54
S;5;0;117,05;276,32
S;5;0;115,86;279,08
S;5;0;114,67;281,85
S;5;0;113,50;284,62
S;5;0;112,36;287,41
S;5;0;111,28;290,22
S;5;0;110,29;293,07
S;5;0;109,31;295,91
S;5;0;108,35;298,77
S;5;0;107,40;301,63
S;5;0;106,45;304,48
S;5;0;105,51;307,35
S;5;0;104,57;310,21
S;5;0;103,63;313,07
S;5;0;102,69;315,93
S;5;0;101,73;318,78
S;5;0;100,77;321,64
S;5;0;99,82;324,49
S;5;0;98,89;327,36
S;5;0;98,00;330,23
S;5;0;97,12;333,12
S;5;0;96,27;336,00
S;5;0;95,43;338,90
S;5;0;94,62;341,80
S;5;0;93,82;344,70
S;5;0;93,04;347,61
S;5;0;92,29;350,52
S;5;0;91,55;353,44
S;5;0;90,82;356,37
S;5;0;90,12;359,30
S;5;0;89,44;362,23
S;5;0;88,77;365,17
S;5;0;88,12;368,11
S;5;0;87,50;371,05
S;5;0;86,89;374,00
S;5;0;86,30;376,96
S;5;0;85,74;379,91
S;5;0;85,20;382,88
S;5;0;84,68;385,84
S;5;0;84,18;388,81
S;5;0;83,71;391,79
S;5;0;83,27;394,77
S;5;0;82,85;397,75
S;5;0;82,47;400,74
S;5;0;82,11;403,73
S;5;0;81,79;406,72
S;5;0;81,51;409,72
S;5;0;81,26;412,72
S;5;0;81,06;415,72
S;5;0;80,90;418,73
S;5;0;80,79;421,74
S;5;0;80,73;424,75
S;5;0;80,74;427,76
S;5;0;80,81;430,77
S;5;0;80,96;433,78
S;5;0;81,19;436,78
S;5;0;81,53;439,78
S;5;0;81,97;442,75
S;5;0;82,55;445,71
G;6;0000;g
S;6;0;159,48;336,84
S;6;0;157,44;339,05
S;6;0;155,38;341,25
S;6;0;153,31;343,43
S;6;0;151,22;345,60
S;6;0;149,11;347,74
S;6;0;146,95;349,84
S;6;0;144,76;351,90
S;6;0;142,53;353,92
S;6;0;140,24;355,87
S;6;0;137,89;357,75
S;6;0;135,47;359,54
S;6;0;132,99;361,24
S;6;0;130,42;362,82
S;6;0;127,78;364,26
S;6;0;125,06;365,55
S;6;0;122,26;366,65
S;6;0;119,39;367,55
S;6;0;116,46;368,22
S;6;0;113,48;368,65
S;6;0;110,48;368,83
S;6;0;107,47;368,73
S;6;0;104,50;368,27
S;6;0;101,63;367,39
S;6;0;98,95;366,03
S;6;0;96,58;364,19
S;6;0;94,61;361,92
S;6;0;93,08;359,33
S;6;0;91,98;356,53
S;6;0;91,23;353,62
S;6;0;90,80;350,64
S;6;0;90,63;347,64
S;6;0;90,67;344,63
S;6;0;90,90;341,63
S;6;0;91,28;338,64
S;6;0;91,81;335,68
S;6;0;92,45;332,74
S;6;0;93,21;329,83
S;6;0;94,06;326,94
S;6;0;95,01;324,09
S;6;0;96,04;321,26
S;6;0;97,16;318,46
S;6;0;98,35;315,70
S;6;0;99,61;312,97
S;6;0;100,95;310,27
S;6;0;102,35;307,61
S;6;0;103,82;304,99
S;6;0;105,37;302,40
S;6;0;106,98;299,86
S;6;0;108,65;297,36
S;6;0;110,40;294,91
S;6;0;112,22;292,52
S;6;0;114,11;290,18
S;6;0;116,08;287,90
S;6;0;118,12;285,69
S;6;0;120,25;283,56
S;6;0;122,46;281,52
S;6;0;124,76;279,58
S;6;0;127,16;277,76
S;6;0;129,65;276,07
S;6;0;132,24;274,55
S;6;0;134,94;273,21
S;6;0;137,73;272,10
S;6;0;140,62;271,24
S;6;0;143,58;270,70
S;6;0;146,58;270,50
S;6;0;149,58;270,67
S;6;0;152,53;271,24
S;6;0;155,39;272,19
S;6;0;158,10;273,48
S;6;0;160,65;275,07
S;6;0;163,03;276,91
S;6;0;165,24;278,96
S;6;0;167,27;281,18
S;6;0;169,10;283,57
S;6;0;170,65;286,14
S;6;0;171,87;288,89
S;6;0;172,73;291,77
S;6;0;173,19;294,74
S;6;0;173,27;297,75
S;6;0;173,03;300,75
S;6;0;172,50;303,71
S;6;0;171,74;306,62
S;6;0;170,81;309,48
S;6;0;169,75;312,30
S;6;0;168,59;315,07
S;6;0;167,36;317,82
S;6;0;166,10;320,56
S;6;0;164,83;323,28
S;6;0;163,57;326,02
S;6;0;162,36;328,77
S;6;0;161,23;331,56
S;6;0;160,22;334,39
S;6;0;159,36;337,28
S;6;0;158,71;340,22
S;6;0;158,24;343,19
S;6;0;157,90;346,18
S;6;0;157,67;349,18
S;6;0;157,50;352,18
S;6;0;157,34;355,19
S;6;0;157,17;358,19
S;6;0;156,93;361,19
S;6;0;156,59;364,18
S;6;0;156,12;367,15
S;6;0;155,61;370,12
S;6;0;155,06;373,08
S;6;0;154,48;376,03
S;6;0;153,87;378,98
S;6;0;153,23;381,92
S;6;0;152,57;384,85
S;6;0;151,88;387,78
S;6;0;151,16;390,71
S;6;0;150,42;393,62
S;6;0;149,66;396,53
S;6;0;148,87;399,44
S;6;0;148,05;402,34
S;6;0;147,22;405,23
S;6;0;146,36;408,11
S;6;0;145,47;410,99
S;6;0;144,57;413,86
S;6;0;143,63;416,72
S;6;0;142,67;419,57
S;6;0;141,69;422,41
S;6;0;140,67;425,25
S;6;0;139,63;428,07
S;6;0;138,56;430,88
S;6;0;137,46;433,68
S;6;0;136,33;436,47
S;6;0;135,16;439,24
S;6;0;133,95;442,00
S;6;0;132,70;444,74
S;6;0;131,41;447,45
S;6;0;130,06;450,15
S;6;0;128,63;452,79
S;6;0;127,11;455,39
S;6;0;125,47;457,91
S;6;0;123,70;460,35
S;6;0;121,79;462,67
S;6;0;119,71;464,85
S;6;0;117,44;466,82
S;6;0;114,97;468,53
S;6;0;112,28;469,88
S;6;0;109,41;470,77
S;6;0;106,43;471,12
S;6;0;103,43;470,92
S;6;0;100,51;470,19
S;6;0;97,74;469,04
S;6;0;95,12;467,55
S;6;0;92,68;465,79
S;6;0;90,39;463,84
S;6;0;88,24;461,74
S;6;0;86,22;459,51
S;6;0;84,31;457,18
S;6;0;82,50;454,78
S;6;0;80,79;452,30
S;6;0;79,16;449,77
S;6;0;77,62;447,19
S;6;0;76,14;444,56
