H;penstroke-edit;2;caveat_edit_subset fixing_2.cdr;464;564;0
G;0;0000;5
S;0;0;108.84;388.96
S;0;0;106.07;387.79
S;0;0;103.38;386.46
S;0;0;100.76;384.99
S;0;0;98.23;383.37
G;1;0000;7
S;1;1;121.04;301.29
S;1;1;124.03;301.77
S;1;1;127.04;302.11
S;1;1;130.06;302.36
S;1;1;133.09;302.53
S;1;1;136.12;302.65
S;1;1;139.15;302.74
S;1;1;142.18;302.80
S;1;1;145.21;302.86
S;1;1;148.24;302.92
S;1;1;151.27;303.00
S;1;1;154.30;303.11
S;1;1;157.32;303.26
S;1;1;160.35;303.47
S;1;1;163.37;303.74
S;1;1;166.38;304.09
S;1;1;169.37;304.54
S;1;1;172.35;305.11
S;1;1;175.30;305.81
S;1;1;178.21;306.66
S;1;1;181.05;307.70
S;1;1;183.82;308.94
S;1;1;186.47;310.40
S;1;1;188.98;312.09
S;1;1;191.31;314.03
S;1;1;193.43;316.20
S;1;1;195.30;318.58
S;1;0;137.78;217.49
S;1;0;140.65;216.64
S;1;0;143.53;215.82
S;1;0;146.42;215.02
S;1;0;149.32;214.25
S;1;0;152.22;213.50
S;1;0;155.13;212.77
S;1;0;158.04;212.06
S;1;0;160.96;211.38
S;1;0;163.88;210.71
S;1;0;166.81;210.07
S;1;0;169.74;209.45
S;1;0;172.67;208.85
S;1;0;175.62;208.28
S;1;0;178.56;207.74
S;1;0;181.52;207.23
S;1;0;184.47;206.75
S;1;0;187.44;206.30
S;1;0;190.41;205.89
S;1;0;193.38;205.53
S;1;0;196.36;205.21
S;1;0;199.34;204.95
S;1;0;202.34;204.76
S;1;0;205.33;204.64
S;1;0;208.33;204.62
S;1;0;211.32;204.71
S;1;0;214.31;204.95
S;1;0;217.27;205.39
S;1;0;220.18;206.11
S;1;0;222.78;207.48
S;1;0;223.44;210.34
S;1;0;222.89;213.28
S;1;0;221.94;216.12
S;1;0;220.80;218.90
S;1;0;219.56;221.63
S;1;0;218.28;224.34
S;1;0;216.99;227.04
S;1;0;215.72;229.75
S;1;0;214.46;232.47
S;1;0;213.11;235.15
S;1;0;211.70;237.79
S;1;0;210.22;240.39
S;1;0;208.68;242.97
S;1;0;207.10;245.51
S;1;0;205.47;248.03
S;1;0;203.82;250.53
S;1;0;202.14;253.01
S;1;0;200.44;255.48
S;1;0;198.73;257.94
S;1;0;197.01;260.39
S;1;0;195.29;262.85
S;1;0;193.58;265.31
S;1;0;191.88;267.78
S;1;0;190.21;270.26
S;1;0;188.55;272.76
S;1;0;186.90;275.26
S;1;0;185.25;277.76
S;1;0;183.60;280.26
S;1;0;181.95;282.76
S;1;0;180.30;285.27
S;1;0;178.66;287.77
S;1;0;177.02;290.28
S;1;0;175.38;292.79
S;1;0;173.75;295.30
S;1;0;172.12;297.82
S;1;0;170.49;300.33
S;1;0;168.86;302.85
S;1;0;167.24;305.37
S;1;0;165.63;307.89
S;1;0;164.01;310.42
S;1;0;162.41;312.95
S;1;0;160.80;315.48
S;1;0;159.20;318.01
S;1;0;157.61;320.55
S;1;0;156.02;323.09
S;1;0;154.44;325.64
S;1;0;152.86;328.18
S;1;0;151.28;330.74
S;1;0;149.72;333.29
S;1;0;148.16;335.85
S;1;0;146.60;338.41
S;1;0;145.06;340.98
S;1;0;143.51;343.54
S;1;0;141.95;346.10
S;1;0;140.40;348.67
S;1;0;138.87;351.25
S;1;0;137.38;353.84
S;1;0;135.92;356.46
S;1;0;134.51;359.10
S;1;0;133.15;361.77
S;1;0;131.84;364.47
S;1;0;130.60;367.20
S;1;0;129.43;369.96
S;1;0;128.35;372.75
S;1;0;127.37;375.58
S;1;0;126.49;378.45
S;1;0;125.74;381.35
S;1;0;125.15;384.29
S;1;0;124.72;387.25
S;1;0;124.51;390.24
S;1;0;124.54;393.24
S;1;0;124.85;396.22
S;1;0;125.47;399.14
S;1;0;126.45;401.97
S;1;0;127.79;404.65
S;1;0;129.47;407.13
S;1;0;131.47;409.36
G;2;0000;cap_B
S;2;2;120.72;296.74
S;2;2;123.70;296.31
S;2;2;126.66;295.81
S;2;2;129.61;295.24
S;2;2;132.56;294.62
S;2;2;135.49;293.95
S;2;2;138.41;293.26
S;2;2;141.33;292.54
S;2;2;144.25;291.81
S;2;2;147.17;291.08
S;2;2;150.09;290.36
S;2;2;153.01;289.66
S;2;2;155.94;289.00
S;2;2;158.88;288.37
S;2;2;161.84;287.79
S;2;2;164.80;287.28
S;2;2;167.77;286.84
S;2;2;170.76;286.49
S;2;2;173.76;286.24
S;2;2;176.76;286.10
S;2;2;179.77;286.07
S;2;2;182.77;286.18
S;2;2;185.77;286.43
S;2;2;188.75;286.83
S;2;2;191.71;287.36
S;2;2;194.64;288.03
S;2;2;197.54;288.83
S;2;2;200.40;289.75
S;2;2;203.22;290.80
S;2;2;205.99;291.97
S;2;2;208.71;293.25
S;2;2;211.37;294.66
S;2;2;213.96;296.17
S;2;2;216.49;297.81
S;2;2;218.93;299.55
S;2;2;221.30;301.41
S;2;2;223.57;303.39
S;2;2;225.72;305.48
S;2;2;227.76;307.69
S;2;2;229.65;310.03
S;2;2;231.38;312.49
S;2;2;232.94;315.06
S;2;2;234.32;317.73
S;2;2;235.52;320.49
S;2;2;236.51;323.32
S;2;2;237.31;326.22
S;2;2;237.90;329.17
S;2;2;238.31;332.15
S;2;2;238.52;335.15
S;2;2;238.55;338.15
S;2;2;238.41;341.16
S;2;2;238.10;344.15
S;2;2;237.65;347.12
S;2;2;237.04;350.07
S;2;2;236.31;352.98
S;2;2;235.45;355.86
S;2;2;234.47;358.71
S;2;2;233.38;361.51
S;2;2;232.20;364.27
S;2;2;230.91;366.99
S;2;2;229.54;369.67
S;2;2;228.08;372.30
S;2;2;226.54;374.88
S;2;2;224.93;377.42
S;2;2;223.25;379.91
S;2;2;221.49;382.35
S;2;2;219.68;384.75
S;2;2;217.80;387.09
S;2;2;215.86;389.39
S;2;2;213.86;391.64
S;2;2;211.81;393.84
S;2;2;209.70;395.98
S;2;2;207.54;398.07
S;2;2;205.33;400.11
S;2;2;203.07;402.10
S;2;2;200.77;404.03
S;2;2;198.41;405.90
S;2;2;196.01;407.71
S;2;2;193.57;409.46
S;2;2;191.08;411.15
S;2;2;188.55;412.77
S;2;2;185.97;414.33
S;2;2;183.36;415.81
S;2;2;180.70;417.21
S;2;2;178.00;418.54
S;2;2;175.27;419.79
S;2;2;172.49;420.95
S;2;2;169.68;422.02
S;2;2;166.84;423.00
S;2;2;163.96;423.87
S;2;2;161.06;424.64
S;2;2;158.12;425.30
S;2;2;155.16;425.83
S;2;2;152.18;426.24
S;2;2;149.19;426.52
S;2;2;146.19;426.66
S;2;2;143.18;426.65
S;2;2;140.18;426.49
S;2;2;137.19;426.18
S;2;2;134.22;425.70
S;2;2;131.28;425.06
S;2;2;128.39;424.24
S;2;2;125.55;423.27
S;2;2;122.77;422.12
S;2;2;120.06;420.81
S;2;2;117.43;419.35
S;2;2;114.89;417.74
S;2;2;112.45;415.99
S;2;2;110.10;414.11
S;2;2;107.86;412.10
S;2;2;105.72;409.99
S;2;2;103.69;407.78
S;2;2;101.76;405.47
S;2;1;162.72;170.39
S;2;1;165.44;169.12
S;2;1;168.26;168.04
S;2;1;171.12;167.13
S;2;1;174.02;166.33
S;2;1;176.95;165.65
S;2;1;179.90;165.05
S;2;1;182.87;164.55
S;2;1;185.84;164.12
S;2;1;188.83;163.76
S;2;1;191.83;163.49
S;2;1;194.83;163.28
S;2;1;197.83;163.15
S;2;1;200.84;163.09
S;2;1;203.85;163.12
S;2;1;206.86;163.22
S;2;1;209.86;163.40
S;2;1;212.86;163.67
S;2;1;215.84;164.04
S;2;1;218.81;164.51
S;2;1;221.76;165.10
S;2;1;224.69;165.81
S;2;1;227.57;166.66
S;2;1;230.41;167.66
S;2;1;233.18;168.84
S;2;1;235.85;170.22
S;2;1;238.40;171.81
S;2;1;240.78;173.65
S;2;1;242.93;175.75
S;2;1;244.80;178.11
S;2;1;246.31;180.71
S;2;1;247.42;183.50
S;2;1;248.11;186.43
S;2;1;248.41;189.42
S;2;1;248.36;192.43
S;2;1;248.12;195.42
S;2;1;247.70;198.40
S;2;1;247.11;201.35
S;2;1;246.38;204.27
S;2;1;245.51;207.15
S;2;1;244.51;209.99
S;2;1;243.39;212.78
S;2;1;242.17;215.53
S;2;1;240.85;218.23
S;2;1;239.44;220.89
S;2;1;237.94;223.50
S;2;1;236.37;226.07
S;2;1;234.73;228.59
S;2;1;233.02;231.06
S;2;1;231.24;233.49
S;2;1;229.41;235.88
S;2;1;227.52;238.22
S;2;1;225.59;240.52
S;2;1;223.60;242.78
S;2;1;221.57;245.00
S;2;1;219.49;247.18
S;2;1;217.38;249.32
S;2;1;215.22;251.41
S;2;1;213.02;253.47
S;2;1;210.79;255.49
S;2;1;208.53;257.47
S;2;1;206.22;259.40
S;2;1;203.89;261.30
S;2;1;201.52;263.16
S;2;1;199.12;264.98
S;2;1;196.69;266.75
S;2;1;194.24;268.48
S;2;1;191.75;270.17
S;2;1;189.23;271.82
S;2;1;186.68;273.42
S;2;1;184.11;274.98
S;2;1;181.51;276.49
S;2;1;178.87;277.95
S;2;1;176.22;279.36
S;2;1;173.53;280.71
S;2;1;170.82;282.01
S;2;1;168.08;283.25
S;2;1;165.31;284.43
S;2;1;162.51;285.54
S;2;1;159.69;286.58
S;2;1;156.84;287.55
S;2;1;153.96;288.43
S;2;1;151.06;289.22
S;2;1;148.13;289.92
S;2;1;145.18;290.50
S;2;1;142.21;290.97
S;2;1;139.22;291.31
S;2;1;136.22;291.50
S;2;0;172.91;166.94
S;2;0;171.28;169.45
S;2;0;169.72;172.00
S;2;0;168.22;174.60
S;2;0;166.78;177.22
S;2;0;165.39;179.87
S;2;0;164.04;182.54
S;2;0;162.74;185.23
S;2;0;161.47;187.94
S;2;0;160.23;190.67
S;2;0;159.03;193.41
S;2;0;157.85;196.16
S;2;0;156.70;198.92
S;2;0;155.57;201.69
S;2;0;154.46;204.48
S;2;0;153.38;207.26
S;2;0;152.31;210.06
S;2;0;151.25;212.86
S;2;0;150.22;215.67
S;2;0;149.19;218.48
S;2;0;148.18;221.30
S;2;0;147.18;224.12
S;2;0;146.19;226.94
S;2;0;145.20;229.77
S;2;0;144.23;232.60
S;2;0;143.26;235.43
S;2;0;142.30;238.26
S;2;0;141.34;241.10
S;2;0;140.38;243.93
S;2;0;139.42;246.77
S;2;0;138.47;249.60
S;2;0;137.51;252.44
S;2;0;136.55;255.28
S;2;0;135.59;258.11
S;2;0;134.62;260.94
S;2;0;133.65;263.77
S;2;0;132.66;266.60
S;2;0;131.66;269.42
S;2;0;130.65;272.23
S;2;0;129.62;275.05
S;2;0;128.57;277.85
S;2;0;127.50;280.64
S;2;0;126.41;283.43
S;2;0;125.30;286.21
S;2;0;124.17;288.98
S;2;0;123.03;291.75
S;2;0;121.88;294.51
S;2;0;120.71;297.26
S;2;0;119.53;300.02
S;2;0;118.34;302.76
S;2;0;117.14;305.50
S;2;0;115.94;308.24
S;2;0;114.73;310.98
S;2;0;113.51;313.72
S;2;0;112.29;316.45
S;2;0;111.07;319.18
S;2;0;109.85;321.91
S;2;0;108.63;324.64
S;2;0;107.41;327.38
S;2;0;106.19;330.11
S;2;0;104.98;332.85
S;2;0;103.77;335.59
S;2;0;102.57;338.33
S;2;0;101.38;341.07
S;2;0;100.20;343.82
S;2;0;99.02;346.58
S;2;0;97.87;349.34
S;2;0;96.72;352.10
S;2;0;95.59;354.87
S;2;0;94.48;357.65
S;2;0;93.38;360.43
S;2;0;92.30;363.23
S;2;0;91.24;366.03
S;2;0;90.21;368.83
S;2;0;89.20;371.65
S;2;0;88.21;374.48
S;2;0;87.25;377.31
S;2;0;86.31;380.15
S;2;0;85.41;383.01
S;2;0;84.53;385.87
S;2;0;83.69;388.74
S;2;0;82.88;391.62
S;2;0;82.10;394.51
G;3;0000;cap_E
S;3;2;122.57;293.69
S;3;2;125.56;294.22
S;3;2;128.58;294.55
S;3;2;131.61;294.71
S;3;2;134.64;294.73
S;3;2;137.68;294.62
S;3;2;140.71;294.42
S;3;2;143.73;294.12
S;3;2;146.75;293.75
S;3;2;149.75;293.32
S;3;2;152.75;292.82
S;3;2;155.74;292.27
S;3;2;158.71;291.68
S;3;2;161.68;291.04
S;3;2;164.65;290.37
S;3;2;167.60;289.67
S;3;2;170.55;288.94
S;3;2;173.49;288.18
S;3;2;176.43;287.41
S;3;2;179.36;286.61
S;3;2;182.28;285.79
S;3;2;185.20;284.96
S;3;2;188.12;284.12
S;3;2;191.03;283.26
S;3;2;193.95;282.40
S;3;2;196.86;281.53
S;3;2;199.76;280.65
S;3;2;202.67;279.77
S;3;2;205.58;278.89
S;3;2;208.48;278.01
S;3;2;211.39;277.13
S;3;2;214.30;276.25
S;3;2;217.21;275.39
S;3;2;220.12;274.53
S;3;2;223.04;273.68
S;3;2;225.96;272.85
S;3;1;161.17;184.60
S;3;1;164.07;183.84
S;3;1;166.99;183.19
S;3;1;169.93;182.62
S;3;1;172.88;182.09
S;3;1;175.83;181.61
S;3;1;178.80;181.16
S;3;1;181.76;180.73
S;3;1;184.73;180.32
S;3;1;187.70;179.93
S;3;1;190.67;179.56
S;3;1;193.64;179.19
S;3;1;196.61;178.84
S;3;1;199.59;178.49
S;3;1;202.56;178.15
S;3;1;205.54;177.81
S;3;1;208.51;177.47
S;3;1;211.49;177.12
S;3;1;214.46;176.77
S;3;1;217.43;176.39
S;3;1;220.40;175.96
S;3;1;223.35;175.45
S;3;1;226.29;174.88
S;3;1;229.22;174.27
S;3;1;232.15;173.64
S;3;1;235.07;172.98
S;3;1;237.99;172.33
S;3;1;240.92;171.70
S;3;1;243.85;171.09
S;3;1;246.80;170.53
S;3;1;249.75;170.03
S;3;1;252.71;169.61
S;3;1;255.69;169.29
S;3;1;258.68;169.07
S;3;1;261.67;168.97
S;3;1;264.67;169.01
S;3;1;267.65;169.20
S;3;1;270.63;169.54
S;3;0;181.34;173.93
S;3;0;178.60;175.14
S;3;0;176.04;176.71
S;3;0;173.65;178.52
S;3;0;171.39;180.50
S;3;0;169.25;182.61
S;3;0;167.21;184.81
S;3;0;165.24;187.08
S;3;0;163.35;189.41
S;3;0;161.51;191.78
S;3;0;159.73;194.20
S;3;0;157.99;196.64
S;3;0;156.29;199.12
S;3;0;154.63;201.62
S;3;0;153.00;204.14
S;3;0;151.39;206.68
S;3;0;149.82;209.23
S;3;0;148.26;211.80
S;3;0;146.73;214.38
S;3;0;145.22;216.98
S;3;0;143.73;219.58
S;3;0;142.25;222.19
S;3;0;140.78;224.81
S;3;0;139.33;227.44
S;3;0;137.89;230.08
S;3;0;136.46;232.72
S;3;0;135.04;235.36
S;3;0;133.62;238.01
S;3;0;132.21;240.66
S;3;0;130.81;243.32
S;3;0;129.41;245.97
S;3;0;128.01;248.63
S;3;0;126.60;251.28
S;3;0;125.20;253.93
S;3;0;123.78;256.58
S;3;0;122.35;259.22
S;3;0;120.90;261.85
S;3;0;119.41;264.46
S;3;0;117.87;267.03
S;3;0;116.28;269.58
S;3;0;114.69;272.12
S;3;0;113.10;274.67
S;3;0;111.52;277.23
S;3;0;109.95;279.79
S;3;0;108.40;282.36
S;3;0;106.86;284.94
S;3;0;105.35;287.53
S;3;0;103.85;290.13
S;3;0;102.38;292.75
S;3;0;100.93;295.38
S;3;0;99.52;298.03
S;3;0;98.13;300.69
S;3;0;96.79;303.37
S;3;0;95.48;306.08
S;3;0;94.21;308.80
S;3;0;93.00;311.54
S;3;0;91.83;314.31
S;3;0;90.71;317.10
S;3;0;89.65;319.91
S;3;0;88.66;322.74
S;3;0;87.73;325.60
S;3;0;86.88;328.47
S;3;0;86.11;331.38
S;3;0;85.42;334.30
S;3;0;84.82;337.24
S;3;0;84.31;340.20
S;3;0;83.91;343.17
S;3;0;83.62;346.16
S;3;0;83.45;349.16
S;3;0;83.39;352.16
S;3;0;83.46;355.16
S;3;0;83.66;358.16
S;3;0;84.00;361.14
S;3;0;84.47;364.11
S;3;0;85.09;367.04
S;3;0;85.84;369.95
S;3;0;86.73;372.82
S;3;0;87.78;375.63
S;3;0;88.98;378.38
S;3;0;90.35;381.05
S;3;0;91.89;383.63
S;3;0;93.60;386.09
S;3;0;95.48;388.44
S;3;0;97.52;390.64
S;3;0;99.71;392.69
S;3;0;102.04;394.58
S;3;0;104.50;396.30
S;3;0;107.07;397.86
S;3;0;109.73;399.24
S;3;0;112.48;400.46
S;3;0;115.29;401.52
S;3;0;118.15;402.43
S;3;0;121.05;403.19
S;3;0;123.99;403.82
S;3;0;126.95;404.31
S;3;0;129.93;404.69
S;3;0;132.92;404.95
S;3;0;135.92;405.11
S;3;0;138.92;405.16
S;3;0;141.92;405.13
S;3;0;144.92;405.01
S;3;0;147.92;404.81
S;3;0;150.90;404.53
S;3;0;153.89;404.17
S;3;0;156.86;403.75
S;3;0;159.82;403.27
S;3;0;162.77;402.72
S;3;0;165.71;402.11
S;3;0;168.64;401.44
S;3;0;171.56;400.72
S;3;0;174.46;399.95
S;3;0;177.35;399.13
S;3;0;180.22;398.26
S;3;0;183.08;397.34
S;3;0;185.92;396.37
S;3;0;188.75;395.36
S;3;0;191.56;394.30
S;3;0;194.35;393.20
S;3;0;197.13;392.06
S;3;0;199.88;390.87
S;3;0;202.62;389.64
S;3;0;205.34;388.37
S;3;0;208.04;387.05
S;3;0;210.71;385.69
S;3;0;213.37;384.28
S;3;0;216.00;382.83
S;3;0;218.60;381.34
S;3;0;221.17;379.79
S;3;0;223.72;378.19
S;3;0;226.23;376.55
S;3;0;228.70;374.85
S;3;0;231.13;373.09
S;3;0;233.52;371.26
S;3;0;235.85;369.38
S;3;0;238.13;367.41
S;3;0;240.33;365.37
S;3;0;242.44;363.24
G;4;0000;cap_F
S;4;2;128.48;283.37
S;4;2;131.44;283.87
S;4;2;134.40;284.31
S;4;2;137.38;284.69
S;4;2;140.36;285.02
S;4;2;143.34;285.30
S;4;2;146.33;285.53
S;4;2;149.32;285.71
S;4;2;152.32;285.86
S;4;2;155.32;285.96
S;4;2;158.31;286.02
S;4;2;161.31;286.04
S;4;2;164.31;286.03
S;4;2;167.31;285.99
S;4;2;170.30;285.91
S;4;2;173.30;285.81
S;4;2;176.30;285.67
S;4;2;179.29;285.51
S;4;2;182.28;285.32
S;4;2;185.27;285.11
S;4;2;188.26;284.88
S;4;2;191.25;284.63
S;4;2;194.24;284.35
S;4;2;197.22;284.06
S;4;2;200.20;283.75
S;4;2;203.18;283.43
S;4;2;206.16;283.10
S;4;2;209.14;282.75
S;4;2;212.12;282.39
S;4;2;215.09;282.03
S;4;2;218.07;281.66
S;4;2;221.05;281.28
S;4;2;224.02;280.91
S;4;2;227.00;280.54
S;4;2;229.97;280.18
S;4;2;232.95;279.83
S;4;2;235.93;279.50
S;4;0;169.50;175.60
S;4;0;168.27;178.34
S;4;0;167.04;181.09
S;4;0;165.82;183.84
S;4;0;164.59;186.58
S;4;0;163.37;189.33
S;4;0;162.15;192.08
S;4;0;160.93;194.83
S;4;0;159.71;197.58
S;4;0;158.50;200.33
S;4;0;157.28;203.09
S;4;0;156.07;205.84
S;4;0;154.86;208.59
S;4;0;153.66;211.35
S;4;0;152.45;214.11
S;4;0;151.25;216.86
S;4;0;150.05;219.62
S;4;0;148.86;222.38
S;4;0;147.66;225.14
S;4;0;146.47;227.91
S;4;0;145.29;230.67
S;4;0;144.10;233.44
S;4;0;142.92;236.20
S;4;0;141.74;238.97
S;4;0;140.57;241.74
S;4;0;139.40;244.51
S;4;0;138.23;247.28
S;4;0;137.07;250.06
S;4;0;135.91;252.83
S;4;0;134.76;255.61
S;4;0;133.60;258.39
S;4;0;132.46;261.17
S;4;0;131.32;263.95
S;4;0;130.18;266.74
S;4;0;129.05;269.53
S;4;0;127.92;272.32
S;4;0;126.80;275.11
S;4;0;125.68;277.90
S;4;0;124.57;280.69
S;4;0;123.46;283.49
S;4;0;122.36;286.29
S;4;0;121.27;289.09
S;4;0;120.18;291.90
S;4;0;119.10;294.71
S;4;0;118.02;297.51
S;4;0;116.96;300.33
S;4;0;115.90;303.14
S;4;0;114.84;305.96
S;4;0;113.80;308.78
S;4;0;112.76;311.60
S;4;0;111.74;314.43
S;4;0;110.72;317.26
S;4;0;109.71;320.10
S;4;0;108.71;322.93
S;4;0;107.72;325.77
S;4;0;106.74;328.62
S;4;0;105.77;331.47
S;4;0;104.81;334.32
S;4;0;103.87;337.17
S;4;0;102.93;340.03
S;4;0;102.02;342.90
S;4;0;101.43;345.84
S;4;0;100.79;348.78
S;4;0;100.05;351.70
S;4;0;99.23;354.59
S;4;0;98.33;357.47
S;4;0;97.38;360.32
S;4;0;96.38;363.15
S;4;0;95.34;365.98
S;4;0;94.27;368.79
S;4;0;93.18;371.59
S;4;0;92.08;374.39
S;4;0;90.98;377.19
S;4;0;89.88;379.99
S;4;0;88.80;382.80
S;4;0;87.74;385.61
S;4;0;86.71;388.44
S;4;0;85.71;391.28
S;4;0;84.76;394.13
S;4;0;83.87;397.00
S;4;0;83.04;399.90
S;4;0;82.28;402.81
S;4;0;81.61;405.74
S;4;0;81.03;408.69
S;4;0;80.55;411.66
S;4;0;80.19;414.65
S;4;1;120.98;190.34
S;4;1;123.87;189.54
S;4;1;126.79;188.87
S;4;1;129.72;188.26
S;4;1;132.66;187.70
S;4;1;135.61;187.17
S;4;1;138.56;186.65
S;4;1;141.51;186.14
S;4;1;144.47;185.63
S;4;1;147.42;185.14
S;4;1;150.38;184.64
S;4;1;153.33;184.14
S;4;1;156.28;183.63
S;4;1;159.23;183.11
S;4;1;162.18;182.58
S;4;1;165.13;182.03
S;4;1;168.07;181.47
S;4;1;171.00;180.87
S;4;1;173.93;180.23
S;4;1;176.85;179.55
S;4;1;179.76;178.85
S;4;1;182.68;178.17
S;4;1;185.61;177.53
S;4;1;188.54;176.91
S;4;1;191.47;176.32
S;4;1;194.42;175.76
S;4;1;197.37;175.23
S;4;1;200.32;174.74
S;4;1;203.28;174.28
S;4;1;206.25;173.85
S;4;1;209.22;173.46
S;4;1;212.19;173.11
S;4;1;215.17;172.80
S;4;1;218.16;172.53
S;4;1;221.14;172.31
S;4;1;224.13;172.13
S;4;1;227.13;171.99
S;4;1;230.12;171.90
S;4;1;233.12;171.87
S;4;1;236.11;171.88
S;4;1;239.11;171.95
S;4;1;242.10;172.07
S;4;1;245.09;172.25
S;4;1;248.08;172.49
S;4;1;251.06;172.80
S;4;1;254.03;173.16
S;4;1;257.00;173.60
S;4;1;259.95;174.10
S;4;1;262.89;174.67
S;4;1;265.82;175.31
S;4;1;268.73;176.03
S;4;1;271.62;176.82
S;4;1;274.48;177.69
S;4;1;277.33;178.63
S;4;1;280.14;179.66
G;5;0000;cap_I
S;5;2;68.51;405.41
S;5;2;71.52;405.55
S;5;2;74.54;405.62
S;5;2;77.56;405.63
S;5;2;80.58;405.59
S;5;2;83.59;405.49
S;5;2;86.60;405.35
S;5;2;89.62;405.17
S;5;2;92.63;404.96
S;5;2;95.64;404.73
S;5;2;98.64;404.47
S;5;2;101.65;404.20
S;5;2;104.65;403.92
S;5;2;107.66;403.63
S;5;2;110.66;403.35
S;5;2;113.67;403.08
S;5;2;116.67;402.82
S;5;2;119.68;402.58
S;5;2;122.69;402.36
S;5;2;125.70;402.18
S;5;2;128.71;402.03
S;5;2;131.73;401.93
S;5;2;134.75;401.90
S;5;2;137.76;401.92
S;5;2;140.78;401.98
S;5;2;143.80;402.08
S;5;2;146.81;402.19
S;5;2;149.83;402.31
S;5;2;152.84;402.42
S;5;2;155.86;402.52
S;5;2;158.88;402.60
S;5;2;161.89;402.64
S;5;2;164.91;402.63
S;5;2;167.93;402.57
S;5;2;170.94;402.45
S;5;2;173.95;402.24
S;5;2;176.95;401.94
S;5;2;179.94;401.53
S;5;2;182.91;401.00
S;5;2;185.86;400.33
S;5;2;188.76;399.51
S;5;1;190.72;173.72
S;5;1;189.94;176.63
S;5;1;189.15;179.54
S;5;1;188.36;182.45
S;5;1;187.56;185.36
S;5;1;186.76;188.27
S;5;1;185.95;191.18
S;5;1;185.14;194.08
S;5;1;184.32;196.99
S;5;1;183.50;199.89
S;5;1;182.68;202.79
S;5;1;181.85;205.69
S;5;1;181.01;208.59
S;5;1;180.17;211.49
S;5;1;179.33;214.38
S;5;1;178.49;217.28
S;5;1;177.64;220.17
S;5;1;176.79;223.07
S;5;1;175.93;225.96
S;5;1;175.07;228.85
S;5;1;174.21;231.74
